NewOrder|Espero que la Federación Española se comporte como debe y no se presente a esta patochada...
umbral2|@Korreynopares #148 Cerrar @ Fijoqueno # 143 no comparemos la España de las autonomías con el Reino Unido, nada que ver. Hace quinientos años ya que cuatro reinos se integraron en uno solo, incluyendoal de Navarra, y ahora llegan los listos y otra vez a las andadas. Eso que llamo Euskadi Sabino Arana jamas tuvo soberania propia. @Fijoqueno #143 Cerrar @ qbm # 131 acertado de pleno . No se si es que por ese mismo detalle que la gente no quiere verlo así, y al contrario ,lo que hace es dejarse llevar por el que dirán ,por las apariencias . En Reino Unido juegan entre ellos ,cierto ? . El deporte une ,y no al revés. Su comentario no esque revele la realidad siendo clasificador , es el miedo y rencor lo que no deja ver a los demás ese detalle . Un saludo y suerte ! GB es la union de varios Reinos. Comparalo con la UE pero no con España.
im21|@JeanMoulin #68 Cerrar "Para nosotros es el sumun". El "sumun" sería que les ganara España. Ellos son tan españoles como el que más ... y a la historia me remito.
im21|@almen_dros #57 Cerrar España no se debe de presentar, en todas las competiciones dónde jueguen ellos España no debe de estar presente Bien visto ... donde jueguen ellos ... España ya está suficientemente representada ...
im21|@ToujoursauContraire #36 Cerrar Lo lógico sería que jugara contra el País Vasco la selección del cantón de Cartagena o la del cantón de Alcoy. Eso sí que son nacionalidades históricas. Tal cual! ...
im21|@Mugarri #31 Cerrar Y como siempre, la TV publica española, que la pagamos todos, no retransmite los partidos de pelota, ni las regatas de traineras.... De acuerdo ... y mira que las traineras se lleva haciendo toda la vida desde Coruña a San Sebastián .. pasando por Castropol, San Esteban, Santoña, ... etc. etc. ... y mira que molan! ...
Weitnau|Que asquito los de la "supremacía" , eso es lo que creen junto a sus amiguetes los cataulfos. Márchense ya de la España tan horrorosa que nunca les ha dado y da nada y les ha tenido tan oprimidos, pero con una mano adelante y otra; detrás. Ahhhh, y no vuelvan y mucho menos a pedir ayudas.
im21|@pidoturno #27 Cerrar Espero que ningún español se presente a ese partido. Pues lo siento ... pero ellos sí ... o sea que algún español se presentará ...
im21|@Chispazo #19 Cerrar El peor error de nuestra democracia, crear 17 taifas tan insolidarias como despilfarradoras que jamás respondieron a ninguna realidad histórica las cuales consumen el 10% del PIB anual repletas de amigotes y militantes del partido de turno Es lo que tiene la ingenuidad ... se hizo pensando en la lealtad ... lo que honra a los padres de la patria que la redactaron (desde comunistas hasta franquistas y en medio los centristas de Adolfo Suárez -UCD- ) ... pero no fue el camino de la lealtad el que se siguió.
im21|@Utopilitologo #14 Cerrar La paella Valenciana, el cocido Madrileño, la morcilla de Burgos y la pelota VASCA. Y el mejor frontón ... en Madrid.
im21|@PeriodismoSinCensura #9 Cerrar lo mejor seria no reconocer esa liga de naciones y no participar como España... Efectivamente ... si quieren estar solos ... que lo estén.
im21|Yo les dejaría ganar por incomparecencia.
Anny|Una traicion mas de las muchas que lleva echas este desarmado sin escrúpulos , y la fiesta la pagaremos el resto de Españoles , vomitivo es este personaje , solo se puede sentir desprecio por El
canary2017|@DrLopez #22 Cerrar Estoy seguro que más de un vasco y más de una vasca ha tenido un orgamo con este tema. Ni en sus sueños más húmedos hubieran imaginado que esto llegaría a producirse. Qué pena y qué rabia de no poder hacer nada para quitar a estos impresentables y miserables del gobierno de este país."Quien pueda hacer,que haga"...pero ya!! o no habrá país.
Korreynopares|La reina católica estará que hierve dentro de su tumba.
Ex|Mas madera Izarra, para que viertan odio e insultos los comentaristas de este panfleto, que por cierto se ha convertido en amarillista.
italdoc5|Venga Pedrito, amaña la competición para que ganen los vascongados!!
100Datiles|España? contra una autonomía? y gracias a Pedro Sánchez, es que el País Vasco ya no es español , porque si es así yo no lo sabía. Pues tendremos que dejarnos ganar, porqué no sabemos que nos puede pasar................
cceress|Una región contra la selección de un país. Es como dos y dos son 5. Entre rojos y etarras todo es posible
Gaupason|Las apuestas están mil a uno por Euskadi
kilerlop1|Luego cuando esteis de viaje y tengais problema llamar a la embajada de euskadi o vascongadas
Usertask|@19101469 #3 Cerrar España tiene un grave problema territorial y con los Partidos Separatistas y en buena parte de debe a lo muy mal que se redactó la Constitución de 1978.Se hizo una Carta Magna entera para satisfacer y contentar a los enemigos de España, es decir a los partidos Separatistas y Nacionalistas. Esto no lo ha hecho ningún otro país del mundo. Se les dio todo lo que pedían. Diferenciar entre Nacionalidades y Regiones. No llamar Español al idioma de España. Se les dio las lenguas cooficiales. No se puso letra al himno de España pero luego los separatistas sí se la pusieron a sus Regiones. Se les dio todo un Estado de las Autonomías con casi todas las competencias. Se recuperaron los privilegios forales para el País Vasco y Navarra. Y por eso ahora somos un Estado Fallido donde un prófugo de la Justicia que quiere destruir España decide los designios de todos los españoles. O un Partido como Bildu, heredero de una banda terrorista, tiene en su mano la gobernabilidad de España. La solucion democratica radica en que los españoles voten a la coalicion PP + VOX y consigan 176 escaños durante decadas a cuesta del resto de partidos.
JeanMoulin|@LLR #111 Cerrar No comprendo como España puede jugar un partido contra estos vascos?. España no os presenteis a jugar este partido. La noticia me dan ganas de vomitar, seguro que si jugais vomitaré. BASTA YA DE CAGAROS SOBRE LA BANDERA DE ESPAÑA. Jugadores españoles no os dais cuenta que insultareis a ESPAÑA?. 6 de los 8 jugadores que son, resulta que son vascos. Es decir, van a jugar vascos contra vascos. El colmo del absurdo.
Tresforcas|Que ridículo, pero si así son felices pues muy bien.
Quetevotetxapapote|Al igual que no existe una selección absoluta del Reino Unido oficialmente reconocida, puesto que sus cuatro países constitutivos cuentan con federaciones y selecciones propias (Escocia, Gales, Inglaterra e Irlanda del Norte), que compiten por separado en los campeonatos internacionales organizados por la FIFA y la UEFA, a mi me parecería bien que en el Reino de España también existieran las cuatro selecciones de las Nacionalidades Históricas.
Criado|Es una vergüenza este gobierno en eso se hadtan el dinero comi en los cupos catalanes y Vascos. Nodotros pagandoles todo .ellos no colaboran con la hacienda de España y encima les pagamos esto ,y las pensiones.y todo para que un recoge toallas de club se pasee en falcón y nos roben miles de millones. Y los votantes de izquierda como locos tranquila
javil|@italdoc5 #137 Cerrar @ javil # 123 Que ganas tenemos en España, de separarnos de Vascongadas. No aportáis nada a los españoles pero influir sobre los demás, eso sí!! Pues votáis a partidos que defienden justo lo contrario
Korreynopares|@Fijoqueno #143 Cerrar @ qbm # 131 acertado de pleno . No se si es que por ese mismo detalle que la gente no quiere verlo así, y al contrario ,lo que hace es dejarse llevar por el que dirán ,por las apariencias . En Reino Unido juegan entre ellos ,cierto ? . El deporte une ,y no al revés. Su comentario no esque revele la realidad siendo clasificador , es el miedo y rencor lo que no deja ver a los demás ese detalle . Un saludo y suerte ! no comparemos la España de las autonomías con el Reino Unido, nada que ver. Hace quinientos años ya que cuatro reinos se integraron en uno solo, incluyendoal de Navarra, y ahora llegan los listos y otra vez a las andadas.
Julos|@55manu #122 Cerrar Para cuando se va a nombrar a Pedro Sánchez Pérez Castejón y demás, persona non grata, español no reconocido ya que el tira tanto a España, porque no se presenta a lehendakari o president de Cataluña estás diciendo que los catalanes y vascos no son españoles? Hay alguien suficientemente español en España para ti oh gran oráculo que todo lo sabe y guardián de la españolidad?
Indomito|Va a ocurrir lo mismo con el fútbol ? Por qué pienso que deberían tener su propia liga ya ¿ y comerse los mocos entre cuatro clubs .
italdoc5|Me gustaría ver en blanco sobre negro lo que aporta el cuponazo vascongado a España!!
breogann|Si tienen dignidad los Pelotaris seleccionados por España, que no se presenten al juego contra los vascos.
Fijoqueno|@qbm #131 Cerrar @ javil # 123 porque en el fondo hay una animadversión entre la gente, fomentada y dirigida por la clase política que en lo único que destaca, aparte de esto, es en medrar descaradamente acertado de pleno . No se si es que por ese mismo detalle que la gente no quiere verlo así, y al contrario ,lo que hace es dejarse llevar por el que dirán ,por las apariencias . En Reino Unido juegan entre ellos ,cierto ? . El deporte une ,y no al revés. Su comentario no esque revele la realidad siendo clasificador , es el miedo y rencor lo que no deja ver a los demás ese detalle . Un saludo y suerte !
pf2014|@Mugarri #31 Cerrar Y como siempre, la TV publica española, que la pagamos todos, no retransmite los partidos de pelota, ni las regatas de traineras.... Ni competiciones de lucha canaria, ni de bola canaria, ni de loita galega, ni de pelota valenciana, ni te tiro de reja, ni de caliche murciano, ni de picota, ni de....
italdoc5|Y quién pagará la fiesta? seguro que los españoles!!!
El_Tio_Calambres|España es un verdadero desastre y la única culpa es de los españoles. Tienen lo que merecen.
100Datiles|El gobierno de Pedro Sánchez, si se le puede llamar gobierno a esta panda, solo se preocupa de Cataluña y los vascos, los demas, procura fastidiarlos todo lo que puede, incluso en Asturias y castilla la mancha, dos autonomías del PSOE, las únicas, las demás todas , todas son del PP, incluso Cataluña, que el presidente es un socialista& separatistas, pero los que realmente manda es Puigdemon porque ERC va ha remolque.
italdoc5|Seguro que estos vascongados trampean con D. Pedro I el Cruel para amañar los resultados... Sería lo suyo!!
italdoc5|@javil #123 Cerrar A mí como vasco me agrada que Euskadi puede competir internacionalmente y más en un deporte tan vinculado a nosotros, no el enfrentarnos a España. No sé cómo se habrá hecho el que un jugador esté seleccionado por Euskadi o por España. En categoría masculina los representantes vascos de España no tienen la categoría de los que representan a Euskadi. En cambio en categoría femenina considero que las favoritas son las jugadoras vascas que representan a España. Me preocupa que hayan elegido representar a España pudiendo haber elegido competir por Euskadi, porque podrían quedar "señaladas" en su pueblo. Que ganas tenemos en España, de separarnos de Vascongadas. No aportáis nada a los españoles pero influir sobre los demás, eso sí!!
In_vigilando|Que partido más interesante... Lo van a ver ellos y sus familiares
macguti|Que vergüenza, Pedro, traidor!
JMJL|Piraros de una vez ...
55manu|@Cento #74 Cerrar @ Fegoms # 65 Allí hay secesionistas, federalistas, con federalistas, y ¿los españoles tenemos que aguantar a todas vuestras alternativas? ¿Por qué nos os vais a tomar...?, nos ponemos fronteras y ni un vasco crI min4l en España? Pero los vascos siguen vendiéndonos sus productos. Vascos no vengáis a España y no participéis en nada nuestro. Ellos venden sus productos, el culpable es quien se los compra.
senecaxv|@Pel1cano #102 Cerrar @ AFALEADOR # 6 España como nación no tiene 2000 años de historia. Como mucho tiene 500, porque por una parte "nación" es un concepto del siglo XIX, pero por otra desde los Reyes Católicos hay una unidad política continuada. 500 años no son poco, de hecho, son más que casi cualquier otra nación del planeta (con el permiso de Egipto, China y Japón, que sí tienen 2000 años de historia), así que no hace falta hinchar los números. : (2): Citas Egipto, China y Japon con 2000 años pero precisamente hace 2000 años Egipto era una provincia romana como Hispania, antes de eso ya tenía 3000 años de historia pero la trayectoria de los paises cambia. Tenemos los mismos argumentos para decir que Egipto tiene 2.000 años de historia que para decir que España los tiene.
qbm|@javil #123 Cerrar A mí como vasco me agrada que Euskadi puede competir internacionalmente y más en un deporte tan vinculado a nosotros, no el enfrentarnos a España. No sé cómo se habrá hecho el que un jugador esté seleccionado por Euskadi o por España. En categoría masculina los representantes vascos de España no tienen la categoría de los que representan a Euskadi. En cambio en categoría femenina considero que las favoritas son las jugadoras vascas que representan a España. Me preocupa que hayan elegido representar a España pudiendo haber elegido competir por Euskadi, porque podrían quedar "señaladas" en su pueblo. porque en el fondo hay una animadversión entre la gente, fomentada y dirigida por la clase política que en lo único que destaca, aparte de esto, es en medrar descaradamente
astegiano|ESPAÑA, ya está siendo un ESTADO FALLIDO.
55manu|Sánchez va a por el 36 Bis
javil|¿No es absurdo que Israel juegue competiciones europeas de fútbol y baloncesto, cuando son asiáticos?
Petuelos|Esos que dicen van a representar a España son colaboracionistas de esta farsa, ni que decir tiene que NO representan a España, porque un español se negaría en rotundo a formar parte de este esperpento. EUSKADI ES ESPAÑA, si quieren la independencia que ganen una guerra, ya está bien de pensar que las cosas son gratis.
Tom33|Lo interesante sería dar la independencia a esas provincias y ver cómo se apañan sin el dinero del resto del país y tenga por seguro que acabarán como Venezuela y cuba ya veremos cómo nos deshacemos de los parásitos
javil|@Marcos74 #96 Cerrar @ Hitz # 62 No compares. Inglaterra y Gales son naciones y vosotros no. Sois una comunidad autónoma de España, no una nación. ¡Lo comparable sería si Inglaterra jugara contra el Reino Unido, lo cual es absurdo!! ¿No es absurdo que en el Seis naciones de rugby la República de Irlanda e Irlanda del Norte compitan unidas
javil|@Marcos74 #96 Cerrar @ Hitz # 62 No compares. Inglaterra y Gales son naciones y vosotros no. Sois una comunidad autónoma de España, no una nación. ¡Lo comparable sería si Inglaterra jugara contra el Reino Unido, lo cual es absurdo!! ¿Y no es absurdo que Islas Feroe se enfrentase a Dinamarca en fútbol en 2021 en clasificatorio? ¿No es absurdo en rugby que representen a España jugadores que no tengan nacionalidad española? ¿No es absurdo que se de nacionalidad española a deportistas que no saben ni una palabra de castellano en baloncesto, esquí de fondo, natación para competir por España?
javil|A mí como vasco me agrada que Euskadi puede competir internacionalmente y más en un deporte tan vinculado a nosotros, no el enfrentarnos a España. No sé cómo se habrá hecho el que un jugador esté seleccionado por Euskadi o por España. En categoría masculina los representantes vascos de España no tienen la categoría de los que representan a Euskadi. En cambio en categoría femenina considero que las favoritas son las jugadoras vascas que representan a España. Me preocupa que hayan elegido representar a España pudiendo haber elegido competir por Euskadi, porque podrían quedar "señaladas" en su pueblo.
55manu|Para cuando se va a nombrar a Pedro Sánchez Pérez Castejón y demás, persona non grata, español no reconocido ya que el tira tanto a España, porque no se presenta a lehendakari o president de Cataluña
jorgito88|si el propio nombre lo dice, pelota vasca. No de chamberí ni carabanchel. Lo que demanda el lector es información de los conciertos del bernabeu, la reciente recalificación de terreno en Valdebebas, la incapacidad mental evidente de Florentino, el añito esperpéntico del real madrid,...
MalditosRoedores|Es otro paso mas en la ruptura de España, en eso de la inconstitucional plurinacionalidad, igual que el pufo​/cupo catalán. Otro golpe de Estado porque es la alteración de la Constitución ignorando su `espíritu` y las formas establecidas en ella para su modificación. Es otra muesca del cínico Sánchez y su Corrupsoe en su historia criminal contra los españoles; parece ser que lo habían pactado ya con el PNV para recibir su apoyo, ya sabemos que estos zurdos hacen estas cosas con mucho gusto, no les obligan, lo hacen porque les sirve a su objetivo, que comparten con los separatistas, golpistas y terroristas, que es destruir España, poco a poco, pero constantemente.
senecaxv|@Pel1cano #102 Cerrar @ AFALEADOR # 6 España como nación no tiene 2000 años de historia. Como mucho tiene 500, porque por una parte "nación" es un concepto del siglo XIX, pero por otra desde los Reyes Católicos hay una unidad política continuada. 500 años no son poco, de hecho, son más que casi cualquier otra nación del planeta (con el permiso de Egipto, China y Japón, que sí tienen 2000 años de historia), así que no hace falta hinchar los números. : A ver, 2000 años es excesivo y realmente España tiene 500 como nación o pais moderno. Pero la idea de España, Hispania o Spania es bastante anterior, proctcamente desde la caida del Imperio Romano. Aunque la Hispania visigoda no tenia el mismo territorio, la idea estaba ahí tal y como ellos mismos dejarosn por escrito, la Hispania musulmana tambien está ahí, a partir de un momento el Califato o los demas modelos de estado tenian una conciencia de pertenecer a Al-Andalus que es decir Hispania y los reyes cristianos que fueron resugiendo desde el siglo VIII tambien tenian esa idea de Hispania y sobre todo los reinos astures, leoneses, gallegos, navarros, castellanos o aragoneses casi siempre tuvieron en mente alcanzar la unión que al final "casi" fue pues siempre excepto en un pequeño periodo de tiempo faltaba Portugal.
55manu|@JeanMoulin #82 Cerrar @ Hitz # 62 No es lo mismo. En fútbol o rugby, juega Inglaterra, no Gran Bretaña. Alguien se imagina un partido entre Gran Bretaña e Inglaterra? Sería absurdo no? Pues un partido entre España y Euskadi es igualmente absurdo. Y más cuando en la selección de España juegan 6 jugadores vascos de 8... No tiene sentido alguno. Es que el gobierno de España también es un absurdo.
Zark_7|El inquilino de La Moncloa ha usado más vaselina en dos años que todos los que han pasado por las saunas del suegro en 30 años...
Zark_7|Qué es Euskadi? Una raza de perros de esos de la nieve? Me he comprado un cachorro de Euskadi...
Zark_7|Estado fallido. Gracias, Antonio.
cortamar|Qué banda estos pájaros, y encima les pagamos las pensiones y las sedes sociales.
Ma15|@Marcos74 #96 Cerrar @ Hitz # 62 No compares. Inglaterra y Gales son naciones y vosotros no. Sois una comunidad autónoma de España, no una nación. ¡Lo comparable sería si Inglaterra jugara contra el Reino Unido, lo cual es absurdo!! así es, en los juegos Olímpicos sólo hay una selección británica
Ma15|España tiene que desprenderse de estos parásitos, porque es un gasto de dinero y de energía insoportable. Se mantiene la frontera con Francia (Irún), y parte de Álava. Y que les vaya bien con su país.
LLR|No comprendo como España puede jugar un partido contra estos vascos?. España no os presenteis a jugar este partido. La noticia me dan ganas de vomitar, seguro que si jugais vomitaré. BASTA YA DE CAGAROS SOBRE LA BANDERA DE ESPAÑA. Jugadores españoles no os dais cuenta que insultareis a ESPAÑA?.
melisur91|También negociaran que España pierda siempre
55manu|No deberían acudir ningún pelotari español, a nivel de comunidades estaría bien, lo contrario no.
senecaxv|Lo mas lógico sería que la española se inscribiera como "Resto de España", para dejar bien claro que la Vasca también es española.
Javierlec|@Hitz #62 Cerrar Nada del otro mundo, Inglaterra e Irlanda del Norte, llevan disputando partidos internacionales, desde hace mucho tiempo y no pasa nada. Pero no juega Escocia, ni Inglaterra contra el Reino Unido, ni la región inglesa de West Midlands contra Inglaterra. ¿Entiende la diferencia o le parece demasiado complicado?
almen_dros|Si van , muy mal por la federación y muy mal por los jugadores
Coupe|Ante esta noticia increíble, sólo siento estupor y vergüenza ajena del actual gobierno central que tenemos
hondonero|Euskadi? Qué es eso?
racasmer|Culpables número 1 Sanchez, capaz de cualquier cosa, culpables número 2 los jugadores "españoles" que se prestan a esa abominación, ni hambriento quiero ese dinero mugriento.
Pel1cano|@AFALEADOR #6 Cerrar Que un personaje sin escrúpulos, como Sánchez, esté desintegrando una nación con 2000 años de historia, sin que nadie haga nada por evitarlo, ratifica que la democracia española ha fracasado. España como nación no tiene 2000 años de historia. Como mucho tiene 500, porque por una parte "nación" es un concepto del siglo XIX, pero por otra desde los Reyes Católicos hay una unidad política continuada. 500 años no son poco, de hecho, son más que casi cualquier otra nación del planeta (con el permiso de Egipto, China y Japón, que sí tienen 2000 años de historia), así que no hace falta hinchar los números.
Dluck|Nada me puede resultar más indiferente que un partido de Pelota, nada.
7River_|Una infamia más del indigno gobierno del perverso Sánchez que, poco a poco, y con la legalidad por delante, sitúa a España en una insoportable situación de colonia del separatismo vasco y catalán que si antes nos asesinaban, luego nos despreciaban y ahora nos explotan y disfrutan de injustos privilegios ante el silencia cómplice de unos y la mirada embobada de muchos. Son demasiadas canalladas y la sociedad no quiere reaccionar. Estamos perdiendo todas las batallas ante el independentismo y finalmente, perderemos el combate que, por otro lado, estamos pagando los de pringaos de siempre¿
zorin|Me parece muy bien. Conozco vascos que son independentistas y otros que no son tanto, pero para la suyo los mejores. Vamos con el futbol y que el Athletic Club de Bilbao, la Real Sociedad y el Alavés monten su liga. La puntita nada más no puede ser.
canary2017|@NewOrder #2 Cerrar Espero que la Federación Española se comporte como debe y no se presente a esta patochada... Ya verá que no,para eso sí son "españoles"...y no deciden ,lo decide el gobierno que es quien mantiene a esa federación...a bajarse los pantalones. Qué pena de país se está quedando
FlyRobinFly|Sánchez lo que quisiera es provocar otra guerra civil. Para ello va tomando una serie de pasos, este es solamente uno de ellos y bastante inocuo si me preguntan. Peores cosas está haciendo y hará
Marcos74|@Hitz #62 Cerrar Nada del otro mundo, Inglaterra e Irlanda del Norte, llevan disputando partidos internacionales, desde hace mucho tiempo y no pasa nada. No compares. Inglaterra y Gales son naciones y vosotros no. Sois una comunidad autónoma de España, no una nación. ¡Lo comparable sería si Inglaterra jugara contra el Reino Unido, lo cual es absurdo!!
Marcos74|¡Que vergüenza! No quiero ni vascos ni catalanes en España. Fuera YA!!
TrueOrFalse|Patético...
davidc_r|Lo de Pinocho con tal de seguir en la Moncloa es de película
isanfa|Que el equipo que representa a España no se presente.
Fijoqueno|@AFALEADOR #6 Cerrar Que un personaje sin escrúpulos, como Sánchez, esté desintegrando una nación con 2000 años de historia, sin que nadie haga nada por evitarlo, ratifica que la democracia española ha fracasado. ni había leído tal necedad en años ,ni en ningún panfleto casual . Vive uds en Retro -grado., y no es una ciudad Lituana ...
Fijoqueno|@Mugarri #31 Cerrar Y como siempre, la TV publica española, que la pagamos todos, no retransmite los partidos de pelota, ni las regatas de traineras.... lo retransmitían por la 2 . Ahora ,como el dinero es poco... ,y se ha administrado bien .... pues no hay tv. Tiene preferencia sus bocas ,sus cervezas, las p... y sus fincas en Bolivia
Pirulas3|@Fegoms #58 Cerrar @ Madison # 42 Antes de escribir es conveniete ver la deficiación del término "Nación" en el Diccionario de la RAE:1- Conjunto de los habitantes de un país regido por el mismo Gobierno. 2-Conjunto de personas de un mismo origen y que generalmente hablan un mismo idioma y tienen una tradición común." Por ejemplo, se puede decir "La gran nación apache", como decían en la películas del Oeste, igual que se puede hablar de naciones vasca, kurda o tirolesa, todas repartidas entre varios estados. Sí, la deficiación, o la defecación. Puestos a decir chorradas...
Pirulas3|@Hitz #62 Cerrar Nada del otro mundo, Inglaterra e Irlanda del Norte, llevan disputando partidos internacionales, desde hace mucho tiempo y no pasa nada. Sí, sobre todo con Gran Bretaña. Buen nogal.
Pirulas3|@Fegoms #65 Cerrar No todos tienen el mismo concepto de España. Aquí hay secesionistas, pero también federalistas o incluso confederalistas. Todo tan respetable como los que creen en aquella definición falangista, pelín cursi, de la "Unidad de destino en lo universal". En fin, ni durante la gloriosa época de nuestro ínclito Caudillo hubo tal unidad. Hoy, el País Vasco es 95% independiente y la presencia del estado es tan anecdótica e invisible que allí la mayoría de la gente ya ni quiere la independencia total y formal, que solo apoya el 19% de la población, según publicó este mismo diario el pasado 26-nov. No está mal así, después de tanta tragedia, pero quien quiera pelearse por la conciliación de los saldos contables que empiece cuando le de la gana. Y para martener a los yayos. Que las nueces sigan dando...
krokodile|Totalmente surrealista.
Madison|@Fegoms #58 Cerrar @ Madison # 42 Antes de escribir es conveniete ver la deficiación del término "Nación" en el Diccionario de la RAE:1- Conjunto de los habitantes de un país regido por el mismo Gobierno. 2-Conjunto de personas de un mismo origen y que generalmente hablan un mismo idioma y tienen una tradición común." Por ejemplo, se puede decir "La gran nación apache", como decían en la películas del Oeste, igual que se puede hablar de naciones vasca, kurda o tirolesa, todas repartidas entre varios estados. Antes de escribir es conveniente buscar la diferencia entre comunidad autónoma y nación. Un saludo.
SeremosChinosPorSerMongoles|@Madison #40 Cerrar @ NetanYahoooo # 33 piel fina? Si le parece poca cosa que se eleve a nación al equipo de una omunudad autónoma es su problema. Algunis tragáis con todo. Una cosa es tragar y otra que me importe un bledo, os buscan y os os encuentran, si no ¿Por qué le dan bombo en este diario? Pues eso como si en el Gara ponen una noticia diciendo que le han comprado traje nuevo a la cabra de la legión. Ya sabemos que buscan, provocación y caéis como moscas.
Boficele|Ésta barbaridad es legal ya que la propicia un gobierno que cuenta con mayoría de votos entre propios y aliados. La reflexión es más triste si pensamos que son una mayoría de votantes los que no creen en España y están dispuestos a admitir la superioridad y hegemonía de otras autonomías respecto a la suya propia. Cuesta trabajo sentirse integrado en una sociedad cuya mayoría de integrantes piensa así¿.
JeanMoulin|@Hitz #62 Cerrar Nada del otro mundo, Inglaterra e Irlanda del Norte, llevan disputando partidos internacionales, desde hace mucho tiempo y no pasa nada. No es lo mismo. En fútbol o rugby, juega Inglaterra, no Gran Bretaña. Alguien se imagina un partido entre Gran Bretaña e Inglaterra? Sería absurdo no? Pues un partido entre España y Euskadi es igualmente absurdo. Y más cuando en la selección de España juegan 6 jugadores vascos de 8... No tiene sentido alguno.
pepepelotas|España creo que no debe de participar en este blanqueamiento. Si quieren selecciones que jueguen ellos sus ligas exclusivamente en todos los deportes
Cecebre1|Gane quien gane, el partido lo ganara España.
epu|Los narcotraficantes también están de celebraciones y algo me dice que se debe a la misma persona.
Cento|@Fegoms #58 Cerrar @ Madison # 42 Antes de escribir es conveniete ver la deficiación del término "Nación" en el Diccionario de la RAE:1- Conjunto de los habitantes de un país regido por el mismo Gobierno. 2-Conjunto de personas de un mismo origen y que generalmente hablan un mismo idioma y tienen una tradición común." Por ejemplo, se puede decir "La gran nación apache", como decían en la películas del Oeste, igual que se puede hablar de naciones vasca, kurda o tirolesa, todas repartidas entre varios estados. Los vascos nunca habéis sido españoles, no vengamos con chorradas, solo sois una panda de violentos a traición que nos queréis vender vuestra m... No vengáis a España, oléis a sangre.
Cento|@Fegoms #65 Cerrar No todos tienen el mismo concepto de España. Aquí hay secesionistas, pero también federalistas o incluso confederalistas. Todo tan respetable como los que creen en aquella definición falangista, pelín cursi, de la "Unidad de destino en lo universal". En fin, ni durante la gloriosa época de nuestro ínclito Caudillo hubo tal unidad. Hoy, el País Vasco es 95% independiente y la presencia del estado es tan anecdótica e invisible que allí la mayoría de la gente ya ni quiere la independencia total y formal, que solo apoya el 19% de la población, según publicó este mismo diario el pasado 26-nov. No está mal así, después de tanta tragedia, pero quien quiera pelearse por la conciliación de los saldos contables que empiece cuando le de la gana. Lo que quieren es seguir vendiéndonos sus productos y aprovecharse de los españoles. FUERA vascos sangrientos de España.
Cento|@Hitz #62 Cerrar Nada del otro mundo, Inglaterra e Irlanda del Norte, llevan disputando partidos internacionales, desde hace mucho tiempo y no pasa nada. Pero Irlanda, Gales, Escocia no participan en la liga inglesa. Los vascos no deberían participar en nada español, y los impuestos que generan los productos vascos se deben pagar en España. Y los vascos no deberían participar en foros españoles , ni utilizar el idioma español. Fuera todos los violentos cobardes de España.
JeanMoulin|"La selección española estará representada por 6 jugadores vascos, un navarro y un catalán". Y cómo es esto? Los vascos de la selección española no se sienten vascos o son jugadores deshechados por la selección vasca?... Al final van a jugar vascos contra vascos. Qué torneo de "naciones" es ese?... Menudo esperpento...
Cento|@Fegoms #65 Cerrar No todos tienen el mismo concepto de España. Aquí hay secesionistas, pero también federalistas o incluso confederalistas. Todo tan respetable como los que creen en aquella definición falangista, pelín cursi, de la "Unidad de destino en lo universal". En fin, ni durante la gloriosa época de nuestro ínclito Caudillo hubo tal unidad. Hoy, el País Vasco es 95% independiente y la presencia del estado es tan anecdótica e invisible que allí la mayoría de la gente ya ni quiere la independencia total y formal, que solo apoya el 19% de la población, según publicó este mismo diario el pasado 26-nov. No está mal así, después de tanta tragedia, pero quien quiera pelearse por la conciliación de los saldos contables que empiece cuando le de la gana. Allí hay secesionistas, federalistas, con federalistas, y ¿los españoles tenemos que aguantar a todas vuestras alternativas? ¿Por qué nos os vais a tomar...?, nos ponemos fronteras y ni un vasco crI min4l en España? Pero los vascos siguen vendiéndonos sus productos. Vascos no vengáis a España y no participéis en nada nuestro.
NanodP|@Hitz #62 Cerrar Nada del otro mundo, Inglaterra e Irlanda del Norte, llevan disputando partidos internacionales, desde hace mucho tiempo y no pasa nada. El caso no es extrapolable. Inglaterra es una nación de las constituyente del Reino Unido (que va camino de ser Reino Hundido). En España solamente hay una nación, a saber, la española.
NanodP|Joseba, reportero de medio pelo, deberías usar topónimos en español cuando escribes en español. Cuando escribas en vascuence, usa lo que te salga del níspero. Gracias.
Cento|Espero que los equipos vascos no participen en las competiciones españolas y los vasos no puedan participar en las selecciones españolas. Aunque lo mejor es que ningún vasco pueda venir a España. Mejor una España, sin violentos vascos traicioneros. ¿Necesitamos a los vascos los que te hacen cosas en la cabeza?
JeanMoulin|Y los vascos franceses, pueden apuntarse a la selección de Euskadi?...
CuestioNando|En algo hemos avanzado. Antes te mataban o te llamaban español como si fuera un insulto. Ahora quieren tener el honor de jugar contra un equipo llamado Ëspaña, llenar un pabellón de gritos, himnos y cánticos independentitas...Hay que reconocer el mérito de los políticos vascos en dar carnaza para la plebe. Eso sí, de su gestión, mejor no hablemos.
JeanMoulin|"Para nosotros es el sumun". El "sumun" sería que les ganara España.
Boson|La próxima competición, cuál será, levantar piedras?
cyndre|@pidoturno #27 Cerrar Espero que ningún español se presente a ese partido. Se presentarán porque les pagan por ello y hay que pagar facturas.
